game_id	game_date	site	team_id	team_name	team_minutes	team_fgm	team_fga	team_three_fgm	team_three_fga	team_ft	team_fta	team_pts	team_offreb	team_defreb	team_totreb	team_ast	team_to	team_stl	team_blk	team_fouls
2803636	12/04/2013	Away	9223	North Greenville	200:00	27	63	9	24	7	8	70	10	27	37	9	15	3	2	30
2803636	12/04/2013	Home	27	Appalachian St.	200:00	24	66	5	24	25	36	78	20	27	47	12	7	7	4	16
2790498	11/28/2013	Neutral	1014	Col. of Charleston	200:00	18	54	4	16	12	16	52	13	14	27	7	11	4	2	12
2790498	11/28/2013	Neutral	626	San Diego St.	200:00	27	47	8	15	10	17	72	8	25	33	8	12	4	4	15
2978395	02/08/2014	Away	109	UC Irvine	200:00	26	49	2	8	7	13	61	6	29	35	15	16	4	4	18
2978395	02/08/2014	Home	108	UC Davis	200:00	19	56	4	14	17	22	59	10	19	29	7	7	6	2	18
2790493	11/29/2013	Neutral	693	Chattanooga	200:00	30	51	5	11	22	29	87	10	27	37	9	17	6	3	20
2790493	11/29/2013	Neutral	2699	IUPUI	200:00	26	57	5	13	19	22	76	5	16	21	6	8	8	1	18
3211993	03/13/2014	Neutral	101	CSUN	225:00	30	56	4	13	23	27	87	9	26	35	14	15	4	3	19
3211993	03/13/2014	Neutral	277	Hawaii	225:00	28	59	7	22	21	28	84	9	20	29	16	11	6	3	23
2763135	11/22/2013	Neutral	68	Boston U.	200:00	24	63	9	25	11	19	68	9	22	31	14	8	7	2	13
2763135	11/22/2013	Neutral	207	Eastern Wash.	200:00	31	57	10	18	8	14	80	9	34	43	15	16	2	2	15
2818913	12/12/2013	Away	229	Fla. Atlantic	200:00	25	55	5	16	15	20	70	13	16	29	11	12	6	4	19
2818913	12/12/2013	Home	176	DePaul	200:00	32	61	6	13	11	18	81	18	20	38	15	12	3	2	18
2918414	01/24/2014	Away	738	Vermont	200:00	23	61	8	22	10	15	64	13	22	35	16	5	4	5	16
2918414	01/24/2014	Home	683	Stony Brook	200:00	27	58	6	15	7	10	67	12	27	39	11	9		5	16
2687754	11/08/2013	Away	660	SIUE	200:00	25	64	9	25	6	9	65	15	19	34	10	23	6	1	24
2687754	11/08/2013	Home	31	Arkansas	200:00	33	64	8	16	25	35	99	16	26	42	14	13	8	8	14
2898273	01/18/2014	Away	432	Mississippi Val.	199:00	18	50	2	10	15	25	53	10	26	36	5	13	1		18
2898273	01/18/2014	Home	17	Alcorn	198:00	22	48	5	14	16	22	65	2	24	26	10	6	2	4	20
2707033	11/12/2013	Away	655	Southeastern La.	200:00	23	49	4	14	13	21	63	5	27	32	9	13	6		19
2707033	11/12/2013	Home	574	Rice	200:00	21	49	4	18	16	23	62	6	25	31	11	12	3		18
2912314	01/23/2014	Away	463	Nebraska	200:00	19	53	10	23	6	10	54	11	29	40	10	14	3	3	17
2912314	01/23/2014	Home	539	Penn St.	200:00	20	57	5	21	13	17	58	11	24	35	9	5	6	4	12
2686082	11/08/2013	Away	439	Monmouth	200:00	30	71	10	26	18	27	88	19	29	48	18	11	6	3	22
2686082	11/08/2013	Home	283	Hofstra	200:00	28	66	9	31	19	27	84	14	26	40	14	12	3	4	20
2833713	12/21/2013	Away	287	Houston Baptist	200:00	23	59	6	19	12	18	64	10	23	33	16	13	2	2	20
2833713	12/21/2013	Home	541	Pepperdine	200:00	29	62		7	18	22	76	12	29	41	12	9	4	5	15
