game_id	game_date	away_team_id	away_team_name	away_team_minutes	away_team_fgm	away_team_fga	away_team_three_fgm	away_team_three_fga	away_team_ft	away_team_fta	away_team_pts	away_team_offreb	away_team_defreb	away_team_totreb	away_team_ast	away_team_to	away_team_stl	away_team_blk	away_team_fouls	home_team_id	home_team_name	home_team_minutes	home_team_fgm	home_team_fga	home_team_three_fgm	home_team_three_fga	home_team_ft	home_team_fta	home_team_pts	home_team_offreb	home_team_defreb	home_team_totreb	home_team_ast	home_team_to	home_team_stl	home_team_blk	home_team_fouls	neutral_site
145204	03/27/2010	768	West Virginia	200:00	20	52	10	23	23	34	73	10	26	36	14	12	5	6	22	334	Kentucky	200:00	23	67	4	32	16	29	66	24	27	51	10	16	6	4	27	1
145200	03/27/2010	87	Butler	200:00	21	46	7	15	14	20	63	12	29	41	9	20	7	1	16	327	Kansas St.	200:00	22	57	5	15	7	14	56	11	18	29	8	13	11	6	19	1
114782	02/25/2010	111	UC Riverside	200:00	19	45	7	16	17	24	62	8	28	36	11	10	8	3	15	534	Pacific	200:00	18	54	6	24	11	18	53	12	21	33	8	11	5	2	18	0
110002	02/20/2010	346	Lamar	200:00	29	76	5	23	16	27	79	22	28	50	13	14	9	2	25	508	Northwestern St.	200:00	28	60	8	17	18	29	82	13	32	45	16	18	9	7	24	0
114783	02/25/2010	579	Robert Morris	200:00	30	59	4	12	12	20	76	18	20	38	18	9	5	2	15	748	Wagner	200:00	23	46	7	20	2	4	55	5	16	21	12	14	2	5	19	0
82442	02/03/2010	156	Colorado St.	200:00	22	54	4	9	17	19	65	11	22	33	5	8	11	2	19	732	Utah	200:00	16	39	2	13	16	20	50	3	23	26	12	16	3	11	16	0
87964	02/06/2010	305	Indiana St.	200:00	23	42	7	17	17	22	70	5	25	30	11	14	2	2	23	782	Wichita St.	200:00	24	62	8	27	20	31	76	19	17	36	12	4	6	2	19	0
120122	02/28/2010	482	Niagara	225:00	27	64	7	21	13	28	74	10	32	42	14	10	9	9	24	220	Fairfield	225:00	26	68	8	26	20	29	80	17	36	53	14	16	7	3	24	0
36259	11/25/2009	746	Virginia	200:00	28	53	10	17	10	14	76	12	20	32	17	10	6	2	10	148	Cleveland St.	200:00	26	47	9	21	4	8	65	2	16	18	14	10	7	3	16	1
82222	02/03/2010	490	North Carolina St.	200:00	18	48	2	11	9	16	47	9	21	30	6	7	4	4	17	746	Virginia	200:00	22	54	6	16	9	13	59	13	27	40	14	8	5	1	19	0
46138	12/19/2009	1012	Chadron St.	200:00	20	53	4	15	13	22	57	13	17	30	8	12	1	0	23	30024	Utah Valley	200:00	26	44	5	14	26	33	83	5	26	31	14	9	8	3	23	0
117782	02/27/2010	706	UTSA	200:00	29	48	5	13	13	17	76	5	27	32	16	13	3	3	21	346	Lamar	200:00	26	55	4	14	18	27	74	11	17	28	20	9	4	1	17	0
46136	12/19/2009	414	Miami (OH)	200:00	22	56	6	21	11	13	61	12	23	35	9	11	2	2	24	797	Milwaukee	200:00	22	51	7	22	17	27	68	12	24	36	11	7	6	2	14	0
46135	12/20/2009	283	Hofstra	200:00	24	69	5	14	7	12	82	14	27	41	16	12	11	7	21	603	St. John's (NY)	200:00	25	65	4	16	18	29	102	19	34	53	13	14	5	11	13	1
46134	12/19/2009	596	St. Bonaventure	200:00	30	65	6	27	6	12	72	13	19	32	18	13	6	2	19	688	Syracuse	200:00	32	57	6	15	15	26	85	13	26	39	17	17	9	6	16	0
46133	12/19/2009	450	Mt. St. Mary's	200:00	18	57	3	17	9	16	48	15	15	30	9	9	4	3	14	545	Pittsburgh	200:00	26	57	3	13	11	17	66	17	27	44	19	12	7	2	16	0
46132	12/19/2009	1092	Gardner-Webb	200:00	19	54	12	29	7	12	57	5	19	24	11	20	2	2	23	539	Penn St.	200:00	32	60	12	26	28	32	104	12	33	45	22	11	11	0	11	0
46131	12/19/2009	229	Fla. Atlantic	200:00	23	59	8	23	15	23	69	10	21	31	13	13	8	12	26	415	Miami (FL)	200:00	30	69	8	16	19	29	87	24	31	55	13	16	9	8	22	1
46130	12/19/2009	592	St. Andrews	201:00	23	52	7	16	16	24	69	12	20	32	16	13	4	5	18	196	East Carolina	200:00	26	57	8	20	14	17	74	12	22	34	14	13	6	3	18	0
56122	01/08/2010	534	Pacific	200:00	22	47	10	18	19	27	73	12	22	34	15	10	5	6	13	90	Cal Poly	200:00	22	52	8	21	11	16	63	11	17	28	12	8	4	2	17	0
36257	11/29/2009	709	Toledo	200:00	22	59	2	15	3	8	49	12	22	34	10	15	4	4	21	738	Vermont	200:00	32	63	7	22	11	18	82	14	25	39	22	11	6	3	14	1
36704	11/30/2009	153	Colgate	200:00	20	55	7	21	11	19	58	10	19	29	16	17	7	1	8	688	Syracuse	200:00	39	68	11	27	3	4	92	11	31	42	35	10	13	8	16	0
51842	01/02/2010	393	UMES	200:00	24	59	3	16	9	10	60	10	30	40	11	21	7	1	19	463	Nebraska	200:00	26	57	8	20	14	22	74	7	25	32	20	13	7	4	15	0
51847	01/02/2010	416	Michigan St.	200:00	31	54	7	16	22	30	91	11	31	42	22	14	6	7	22	509	Northwestern	200:00	23	62	9	26	15	23	70	13	17	30	16	10	6	1	21	0
51846	01/02/2010	381	Manhattan	200:00	21	55	2	9	22	30	66	11	23	34	6	10	10	4	21	386	Marist	200:00	23	46	7	17	19	27	72	5	28	33	11	12	2	2	23	0
105002	02/18/2010	2711	North Florida	200:00	22	59	9	25	14	19	67	6	17	23	10	6	5	2	24	406	Mercer	200:00	25	44	7	13	20	33	77	7	34	41	11	16	5	2	17	0
