game_id	game_date	away_team_id	away_team_name	away_team_minutes	away_team_fgm	away_team_fga	away_team_three_fgm	away_team_three_fga	away_team_ft	away_team_fta	away_team_pts	away_team_offreb	away_team_defreb	away_team_totreb	away_team_ast	away_team_to	away_team_stl	away_team_blk	away_team_fouls	home_team_id	home_team_name	home_team_minutes	home_team_fgm	home_team_fga	home_team_three_fgm	home_team_three_fga	home_team_ft	home_team_fta	home_team_pts	home_team_offreb	home_team_defreb	home_team_totreb	home_team_ast	home_team_to	home_team_stl	home_team_blk	home_team_fouls	neutral_site
1344329	11/9/12	2707	UMKC	200:00:00	15	48	3	15	3	15	36	7	21	28	6	20	9	1	18	635	Seton Hall	200:00:00	25	51	10	24	15	26	75	12	32	44	19	15	11	3	19	0
1344224	11/9/12	363	Longwood	200:00:00	17	57	2	15	11	19	47	13	14	27	9	18	7	2	22	388	Marshall	200:00:00	29	57	6	14	17	28	81	18	31	49	17	19	12	6	18	0
1359112	11/9/12	625	Samford	200:00:00	27	70	2	24	8	12	64	14	21	35	11	7	9		18	43	Austin Peay	200:00:00	28	52	9	20	10	17	75	7	31	38	12	13	4	3	15	0
1344318	11/9/12	527	Oral Roberts	200:00:00	18	48	5	13	8	12	49	11	24	35	11	20	6	5	16	704	UTEP	200:00:00	30	64	1	7	8	14	69	15	21	36	18	7	11	6	15	0
1380772	11/9/12	1182	Louisiana Col.	200:00:00	19	52	4	15	12	15	54	13	21	34	9	21	8	3	13	402	McNeese St.	200:00:00	30	57	5	16	7	11	72	8	23	31	16	16	9	8	19	0
1359132	11/9/12	352	Lehigh	200:00:00	28	75	8	21	13	18	77	18	14	32	9	9	8	2	18	51	Baylor	200:00:00	40	62	6	20	13	20	99	12	32	44	28	16	4	6	18	0
1351172	11/9/12	254	Georgia St.	200:00:00	19	51	5	14	12	17	55	10	23	33	4	16	7		21	193	Duke	200:00:00	24	47	11	24	15	23	74	6	25	31	17	15	4	6	19	0
1344012	11/9/12	459	UNCG	200:00:00	26	60	8	20	13	23	73	11	29	40	13	17	6	1	17	19651	High Point	200:00:00	30	68	5	18	16	22	81	14	27	41	17	13	9	4	20	0
1359172	11/9/12	201	Eastern Ill.	200:00:00	17	49	7	23	12	16	53	8	17	25	8	15	5		18	72	Bradley	200:00:00	30	52	3	12	13	17	76	7	28	35	16	11	7	1	14	0
1344034	11/9/12	391	UMBC	200:00:00	29	64	7	16	10	14	75	15	24	39	14	24	14	4	23	540	Penn	200:00:00	27	53	8	16	18	27	80	7	23	30	17	21	12	2	19	0
1344033	11/9/12	186	Dist. Columbia	200:00:00	17	49	9	28	15	18	58	2	27	29	12	22	7	2	20	739	Villanova	200:00:00	27	59	5	17	19	29	78	11	30	41	14	17	13	1	20	0
1495053	11/9/12	667	Southern Utah	200:00:00	27	55	4	17	7	11	65	8	25	33	8	28	4	6	22	260	Gonzaga	200:00:00	40	73	6	13	17	30	103	15	21	36	18	9	18	1	13	0
1359432	11/9/12	0	Brescia	200:00:00	17	55	5	22	4	8	43	8	18	26	11	20	4	1	22	454	Murray St.	200:00:00	30	61	7	18	21	31	88	17	31	48	13	12	10	4	12	0
1345737	11/9/12	746	Virginia	200:00:00	21	52	8	21	9	15	59	11	21	32	12	12	3	1	20	248	George Mason	200:00:00	24	44	7	14	8	19	63	3	23	26	14	10	5	2	16	0
1344053	11/9/12	579	Robert Morris	200:00:00	13	51	4	20	24	32	54	13	19	32	7	17	7	3	24	576	Rider	200:00:00	27	53	8	17	17	20	79	8	29	37	13	16	8	5	26	0
1359412	11/9/12	450	Mt. St. Mary's	200:00:00	17	47	9	23	5	8	48	11	8	19	10	16	5	1	14	545	Pittsburgh	200:00:00	34	48	1	6	11	16	80	7	20	27	17	8	10	6	12	0
1343692	11/9/12	678	Stetson	200:00:00	28	63	13	31	10	14	79	8	22	30	20	11	6	1	21	415	Miami (FL)	200:00:00	32	61	7	21	16	24	87	12	27	39	19	11	4	1	13	0
1343994	11/9/12	2746	Lake Erie	200:00:00	21	52	3	12	8	14	53	9	26	35	7	19	9	5	25	71	Bowling Green	200:00:00	19	58	4	18	21	35	63	20	24	44	9	14	10	7	14	0
1344073	11/9/12	446	Morgan St.	200:00:00	25	53	2	6	19	32	71	20	32	52	15	24	6	6	17	706	UTSA	200:00:00	18	55	11	29	12	26	59	10	16	26	13	16	11		23	1
1344074	11/9/12	0	Montreat	200:00:00	21	55	3	11	9	15	54	9	22	31	4	26	13	2	18	27	Appalachian St.	200:00:00	31	71	9	27	15	19	86	20	28	48	15	18	18	5	14	0
1359652	11/9/12	10411	USC Upstate	200:00:00	25	47	6	11	3	6	59	4	16	20	15	15	5	3	21	609	Saint Louis	200:00:00	27	52	3	12	19	22	76	11	20	31	13	9	8		12	0
1359452	11/9/12	769	Western Caro.	200:00:00	21	66	7	25	12	23	61	20	20	40	11	16	9	7	25	456	UNC Asheville	200:00:00	24	52		7	23	32	71	16	31	47	13	21	9	8	16	0
1359453	11/9/12	1092	Gardner-Webb	200:00:00	22	55	6	22	9	14	59	9	23	32	11	22	11	5	19	457	North Carolina	200:00:00	33	71	1	12	9	19	76	22	26	48	14	18	12	2	11	0
1359457	11/9/12	2751	Pacific (OR)	200:00:00	20	48	6	17	12	15	58	8	18	26	16	22	14	1	22	550	Portland St.	200:00:00	26	46	5	12	20	27	77	6	21	27	15	19	11	3	16	0
1359454	11/9/12	263	Greensboro	200:00:00	17	56	7	23	11	21	52	12	25	37	9	24	10	2	18	488	N.C. A&T;	200:00:00	33	69	4	20	13	18	83	14	33	47	17	17	16	7	19	0
1359455	11/9/12	0	Valley City St.	200:00:00	16	49	4	21	11	13	47	5	11	16	7	12	2	2	8	493	North Dakota St.	200:00:00	36	61	10	22	11	12	93	14	28	42	19	9	7	4	15	0
1359459	11/9/12	617	Saint Peter's	200:00:00	22	48	5	16	7	14	56	3	19	22	14	9	8		21	587	Rutgers	200:00:00	19	53	2	13	12	18	52	16	27	43	10	18	3	1	15	0
1344135	11/9/12	23	American	200:00:00	9	38	2	7	16	23	36	13	17	30	5	22	4	4	19	428	Minnesota	200:00:00	27	62	4	22	14	21	72	22	19	41	17	8	15	10	20	0
1352032	11/9/12	183	Denver	200:00:00	21	45	6	22	10	13	58	7	15	22	14	17	7	4	13	310	Iona	200:00:00	24	45	6	12	11	12	65	7	20	27	15	18	6	4	14	0
1343957	11/9/12	1157	Kennesaw St.	200:00:00	24	52	5	16	14	25	67	15	16	31	9	12	4	2	23	694	Tennessee	200:00:00	26	43	7	12	17	28	76	8	21	29	17	13	7	6	22	0
1343953	11/9/12	563	Radford	200:00:00	25	66	7	21	10	20	67	18	17	35	11	12	12	4	28	749	Wake Forest	200:00:00	28	44	3	11	20	30	79	5	29	34	11	18	8	5	19	0
1359612	11/9/12	222	Fairleigh Dickinson	200:00:00	24	57	10	26	17	23	75	5	6	11	13	7	2	1	17	812	Xavier	200:00:00	43	61	13	21	18	21	117	12	29	41	25	9	5	1	16	0
1359552	11/9/12	553	Prairie View	200:00:00	24	60	5	21	26	34	79	16	18	34	12	17	7	2	23	700	Texas Tech	200:00:00	30	59	7	23	22	28	89	13	24	37	10	17	11	5	27	0
1359632	11/9/12	30024	Utah Valley	200:00:00	21	54	5	17	7	10	54	6	27	33	9	18	5	1	13	2699	IUPUI	200:00:00	26	59	8	23	7	8	67	7	29	36	14	14	5	2	12	0
1359492	11/9/12	15	Albion	200:00:00	19	44	7	18	17	27	62	7	18	25	17	25	5	3	23	514	Oakland	200:00:00	32	58	9	18	23	30	96	10	23	33	16	14	14		24	0
1359829	11/9/12	194	Duquesne	200:00:00	22	58	7	28	15	23	66	20	19	39	8	13	4	6	13	14	Albany (NY)	200:00:00	28	61	7	19	6	7	69	14	21	35	13	12	6	2	22	0
1359572	11/9/12	253	Ga. Southern	200:00:00	16	39	4	13	18	25	54	10	13	23	8	21	7	2	20	735	Valparaiso	200:00:00	27	51	13	24	18	21	85	14	17	31	19	14	14	1	17	0
1344480	11/9/12	108	UC Davis	200:00:00	23	55	7	16	12	19	65	16	27	43	11	21	6		21	521	Oklahoma St.	200:00:00	23	57	8	22	19	24	73	9	20	29	14	9	10	6	18	0
1343753	11/9/12	48	Charleston So.	200:00:00	19	65	8	34	12	18	58	23	25	48	9	17	7	4	25	458	Charlotte	200:00:00	23	59	3	13	19	33	68	18	26	44	7	11	9	6	19	0
1359212	11/9/12	44	Averett	200:00:00	23	59	7	20	2	6	55	11	23	34	12	17	4	1	23	115	Campbell	200:00:00	27	60	4	15	16	23	74	14	28	42	16	14	10	3	10	0
