player_id	player_name	team_id	team_name	jersey	year	pos	height	played	started	minutes	fgm	fga	fgpct	three_fgm	three_fga	three_fgpct	ft	fta	ftpct	pts	ptsavg	offreb	defreb	totreb	rebavg	ast	to	stl	blk	fouls	dbldbl	trpdbl
1512530	Ross, Donovan	346	Lamar	21	Sr	F	6-5	30	17	710:00	98	190	51.58	1	9	11.11	79	97	81.44	276	9.20	43	75	118	3.93	23	50	27	20	62	2	 
1512527	de Lattibeaudiere, Tyran	346	Lamar	05	Sr	F	6-6	30	30	893:00	167	290	57.59	 	 		68	128	53.12	402	13.40	86	146	232	7.73	47	94	40	63	99	8	 
1512529	Owens, Marcus	346	Lamar	20	So	G	6-2	30	22	624:00	61	176	34.66	35	112	31.25	30	46	65.22	187	6.23	41	68	109	3.63	15	27	22	3	71	1	 
1628100	Jones, Quan	346	Lamar	24	Jr	G	6-2	30	16	515:00	36	98	36.73	13	34	38.24	48	69	69.57	133	4.43	11	39	50	1.67	45	50	20	1	38	 	 
1628099	Sears, Dontavious	346	Lamar	23	Jr	F	6-4	29	0	409:00	77	168	45.83	33	97	34.02	20	30	66.67	207	7.14	28	62	90	3.10	10	17	18	4	34	 	 
1512526	Holliday, Anthony	346	Lamar	1	Sr	G	6-1	29	28	828:00	135	278	48.56	27	75	36.00	128	164	78.05	425	14.66	12	43	55	1.90	100	82	31	6	65	1	 
1628096	Booze, Kevin	346	Lamar	2	Fr	G	5-10	29	13	534:00	52	149	34.90	28	78	35.90	49	60	81.67	181	6.24	8	34	42	1.45	85	55	25	 	70	 	 
1628101	Gregory, Lemon	346	Lamar	42	Jr	C	6-10	27	12	390:00	51	76	67.11	 	 		6	19	31.58	108	4.00	33	58	91	3.37	8	30	6	11	61	1	 
1628098	Bosha, Zjori	346	Lamar	15	Fr	G	6-5	26	3	467:00	42	129	32.56	31	110	28.18	15	29	51.72	130	5.00	12	39	51	1.96	21	14	23	1	48	 	 
1512531	Mattingly, Preston	346	Lamar	22	So	G	6-2	23	8	287:00	16	43	37.21	 	4	0.00	15	33	45.45	47	2.04	12	23	35	1.52	18	13	8	1	26	 	 
1628097	Hollis, Zachary	346	Lamar	12	Jr	C	6-8	21	1	209:00	10	34	29.41	 	 		10	16	62.50	30	1.43	17	34	51	2.43	6	11	2	4	33	 	 
1397097	Hancock, Matt	346	Lamar	4	Jr	G	6-4	12	0	55:00	5	10	50.00	1	6	16.67	 	 		11	0.92	2	4	6	0.50	5	2	 	 	6	 	 
1273508	Norman, Sebastian	346	Lamar	50	Sr	F	6-10	10	0	47:00	 	5		 	1	0.00	4	4	100.00	4	0.40	4	3	7	0.70	 	1	2	1	5	 	 
1628102	Petty, Benquan	346	Lamar	3	Jr	G	5-9	5	0	57:00	 	12		 	6	0.00	5	6	83.33	5	1.00	 	3	3	0.60	9	10	 	 	5	 	 
1620674	Roberts, Cleon	340	La Salle	3	So	G	6-5	30	22	875:00	85	234	36.32	44	130	33.85	57	77	74.03	271	9.03	22	71	93	3.10	31	38	36	11	91	 	 
1620673	Price, Jordan	340	La Salle	21	So	G	6-5	30	30	956:00	168	424	39.62	62	182	34.07	118	147	80.27	516	17.20	14	97	111	3.70	71	97	24	8	85	1	 
1289187	Wright, Jerrell	340	La Salle	25	Sr	F	6-8	30	29	826:00	140	270	51.85	 	 		81	137	59.12	361	12.03	88	108	196	6.53	42	68	21	21	82	5	 
1509826	Lewis, Khalid	340	La Salle	23	Jr	G	6-3	30	15	818:00	68	181	37.57	17	56	30.36	29	45	64.44	182	6.07	6	53	59	1.97	62	46	31	8	52	 	 
1509825	Stukes, Amar	340	La Salle	2	Fr	G	6-2	30	15	705:00	61	136	44.85	1	13	7.69	43	66	65.15	166	5.53	12	31	43	1.43	41	35	28	 	54	 	 
1289186	Zack, Steve	340	La Salle	0	Sr	C	6-11	30	30	920:00	96	225	42.67	1	6	16.67	50	69	72.46	243	8.10	72	189	261	8.70	57	56	22	52	86	3	 
1289185	Peterson, D.J.	340	La Salle	01	Sr	G	6-5	27	9	613:00	22	59	37.29	8	37	21.62	12	15	80.00	64	2.37	13	60	73	2.70	42	19	22	5	43	 	 
1289188	Brown, Rohan	340	La Salle	35	Jr	G	6-5	25	0	206:00	11	23	47.83	4	12	33.33	3	6	50.00	29	1.16	18	26	44	1.76	7	9	6	4	8	1	 
1620676	Shuler, Johnnie	340	La Salle	10	Fr	G	5-11	22	0	132:00	13	38	34.21	10	31	32.26	10	17	58.82	46	2.09	6	9	15	0.68	5	11	2	 	13	 	 
1620677	Washington, Tony	340	La Salle	5	Fr	C	6-10	13	0	37:00	3	5	60.00	 	 		 	1	0.00	6	0.46	1	5	6	0.46	 	4	 	1	14	 	 
1415947	Lewis, O.J.	340	La Salle	11	Jr	G	6-0	6	0	7:00	1	2	50.00	 	 		1	2	50.00	3	0.50	 	 	 		 	1	1	 	1	 	 
1525389	Davis, Hank	340	La Salle	04	So	C	5-11	5	0	6:00	1	1	100.00	 	 		 	 		2	0.40	 	 	 		2	 	1	 	3	 	 
1620933	Klinewski, Matt	342	Lafayette	13	Fr	F	6-8	33	1	296:00	40	86	46.51	 	1	0.00	22	35	62.86	102	3.09	27	32	59	1.79	6	19	8	12	48	 	 
1292889	Hinrichs, Seth	342	Lafayette	12	Sr	G	6-7	33	33	1027:00	154	315	48.89	52	134	38.81	73	87	83.91	433	13.12	54	135	189	5.73	84	69	28	22	60	1	 
1292891	Trist, Dan	342	Lafayette	20	Sr	F	6-9	33	32	892:00	230	399	57.64	 	 		110	141	78.01	570	17.27	76	146	222	6.73	43	75	12	23	71	8	 
1400668	Scott, Bryce	342	Lafayette	14	Jr	G	6-3	33	29	954:00	93	220	42.27	51	129	39.53	38	49	77.55	275	8.33	21	87	108	3.27	79	36	32	 	58	 	 
1400669	Rufer, Zach	342	Lafayette	21	Jr	G	6-2	33	2	478:00	35	72	48.61	21	45	46.67	11	17	64.71	102	3.09	14	45	59	1.79	34	9	21	4	53	 	 
1292890	Ptasinski, Joey	342	Lafayette	5	Sr	G	6-2	32	28	967:00	104	218	47.71	72	161	44.72	22	24	91.67	302	9.44	9	78	87	2.72	58	26	39	4	57	 	 
1513449	Hoffman, Michael	342	Lafayette	24	So	F	6-7	32	1	278:00	20	47	42.55	6	19	31.58	5	8	62.50	51	1.59	10	36	46	1.44	10	8	3	7	27	 	 
1513450	Boykins, Monty	342	Lafayette	32	So	G	6-4	31	7	391:00	50	131	38.17	25	61	40.98	21	36	58.33	146	4.71	7	38	45	1.45	25	34	10	2	30	 	 
1513448	Lindner, Nick	342	Lafayette	11	So	G	5-10	31	31	994:00	125	255	49.02	29	73	39.73	108	127	85.04	387	12.48	13	52	65	2.10	162	62	20	2	59	 	 
1400672	Musters, Nathaniel	342	Lafayette	54	Jr	C	6-10	24	0	109:00	3	5	60.00	 	 		1	3	33.33	7	0.29	5	11	16	0.67	1	3	4	3	16	 	 
1400670	Freeland, Ben	342	Lafayette	34	Jr	F	6-9	20	0	66:00	6	17	35.29	 	 		4	10	40.00	16	0.80	5	7	12	0.60	2	4	1	 	16	 	 
1292888	Flannigan, Alan	342	Lafayette	22	Sr	F	6-6	18	1	61:00	4	14	28.57	1	6	16.67	3	4	75.00	12	0.67	1	10	11	0.61	3	4	 	1	9	 	 
1620934	Stafford, Eric	342	Lafayette	4	Fr	G	6-5	16	0	60:00	4	11	36.36	2	6	33.33	 	 		10	0.62	5	3	8	0.50	4	8	2	3	8	 	 
1513451	Newman, Jake	342	Lafayette	33	So	G	6-6	13	0	35:00	1	1	100.00	 	 		3	8	37.50	5	0.38	1	5	6	0.46	2	 	 	 	2	 	 
