game_id	game_date	site	team_id	team_name	team_minutes	team_fgm	team_fga	team_three_fgm	team_three_fga	team_ft	team_fta	team_pts	team_offreb	team_defreb	team_totreb	team_ast	team_to	team_stl	team_blk	team_fouls
3622964	12/23/2014	Away	2699	IUPUI	200:00	22	48	4	11	5	7	53	10	20	30	13	10	1	3	16
3622964	12/23/2014	Home	575	Richmond	200:00	21	46	10	18	5	9	57	7	18	25	14	8	6	3	11
3744324	02/04/2015	Away	469	New Hampshire	200:00	22	51	5	17	13	15	62	10	21	31	11	11	5	5	22
3744324	02/04/2015	Home	14	Albany (NY)	200:00	20	53	6	19	17	22	63	14	20	34	5	9	6	2	17
3728767	01/31/2015	Away	556	Providence	200:00	26	63	3	16	11	16	66	13	21	34	8	9	4	6	20
3728767	01/31/2015	Home	603	St. John's (NY)	200:00	27	57	5	13	16	24	75	12	25	37	13	10	6	9	11
3728764	01/31/2015	Away	812	Xavier	200:00	30	58	1	19	21	28	82	6	27	33	18	11	3	5	26
3728764	01/31/2015	Home	635	Seton Hall	200:00	28	61	9	24	25	35	90	11	25	36	14	7	9	2	24
3800636	02/28/2015	Away	731	Utah St.	200:00	24	50	8	26	18	20	74	5	31	36	13	10	4	7	18
3800636	02/28/2015	Home	721	Air Force	200:00	25	62	4	21	6	14	60	11	22	33	10	7	7	1	22
3545125	11/28/2014	Neutral	563	Radford	200:00	21	46	9	21	14	22	65	11	24	35	15	14	2	6	10
3545125	11/28/2014	Neutral	488	N.C. A&T;	200:00	24	63	3	14	6	10	57	17	17	34	8	9	8	4	18
3545124	11/30/2014	Away	107	California	200:00	25	55	5	16	9	16	64	6	32	38	12	12	5	6	21
3545124	11/30/2014	Home	96	Fresno St.	200:00	18	50	5	15	16	23	57	4	29	33	5	11	5	3	17
3655665	01/07/2015	Away	68	Boston U.	200:00	18	38	11	20	23	29	70	6	24	30	15	12	5	2	16
3655665	01/07/2015	Home	726	Navy	200:00	24	58	9	20	7	13	64	14	18	32	20	9	6	2	19
