game_id	game_date	site	team_id	team_name	team_minutes	team_fgm	team_fga	team_three_fgm	team_three_fga	team_ft	team_fta	team_pts	team_offreb	team_defreb	team_totreb	team_ast	team_to	team_stl	team_blk	team_fouls
221540	02/23/2011	Away	572	Rhode Island	200:00	27	57	7	14	16	22	77	15	26	41	19	17	2	2	25
221540	02/23/2011	Home	194	Duquesne	200:00	28	58	4	18	16	28	76	11	20	31	13	10	7	5	22
172799	11/27/2010	Away	725	Army	200:00	24	56	14	25	17	23	79	8	17	25	17	10	8	0	27
172799	11/27/2010	Home	813	Yale	200:00	25	46	5	14	32	40	87	9	28	37	17	14	2	2	22
172794	11/27/2010	Away	363	Longwood	200:00	25	50	13	20	14	20	77	8	19	27	20	15	1	2	25
172794	11/27/2010	Home	115	Campbell	200:00	33	55	3	10	24	36	93	9	20	29	23	7	10	4	20
172797	11/27/2010	Away	388	Marshall	200:00	24	62	5	20	13	29	66	25	18	43	8	19	5	1	17
172797	11/27/2010	Home	367	Louisville	200:00	30	64	6	21	14	20	80	19	23	42	13	15	11	11	26
228058	03/02/2011	Away	312	Iowa	200:00	23	56	0	12	20	33	66	11	21	32	12	11	7	3	23
228058	03/02/2011	Home	416	Michigan St.	200:00	30	55	7	14	18	27	85	9	28	37	20	13	5	3	23
172793	11/27/2010	Away	180	Delaware	200:00	19	46	7	19	22	29	67	7	27	34	6	15	7	0	24
172793	11/27/2010	Home	342	Lafayette	200:00	19	45	6	19	20	28	64	4	23	27	14	14	4	2	23
188757	01/15/2011	Away	127	Central Conn. St.	200:00	28	60	1	5	11	14	68	13	26	39	17	12	3	2	22
188757	01/15/2011	Home	562	Quinnipiac	200:00	24	60	5	12	20	30	73	17	20	37	14	10	7	3	14
188756	01/15/2011	Away	257	Georgia	200:00	33	52	6	12	26	27	98	7	25	32	26	7	5	7	19
188756	01/15/2011	Home	433	Ole Miss	200:00	26	54	5	17	19	28	76	8	13	21	9	8	3	4	22
217470	02/19/2011	Away	87	Butler	200:00	32	64	4	17	11	15	79	13	26	39	19	6	6	1	14
217470	02/19/2011	Home	302	Ill.-Chicago	200:00	21	55	7	21	3	7	52	10	22	32	15	13	2	4	12
188752	01/15/2011	Away	1320	Presbyterian	200:00	17	54	5	25	3	4	42	8	18	26	9	10	2	1	13
188752	01/15/2011	Home	149	Coastal Caro.	200:00	22	46	4	17	12	18	60	8	30	38	16	11	5	7	12
188759	01/15/2011	Away	490	North Carolina St.	200:00	24	62	6	15	17	25	71	17	21	38	9	16	5	0	20
188759	01/15/2011	Home	234	Florida St.	200:00	30	55	5	13	19	23	84	5	24	29	11	11	8	5	21
221545	02/23/2011	Away	726	Navy	200:00	18	51	10	24	12	19	58	11	15	26	12	12	11	0	20
221545	02/23/2011	Home	23	American	200:00	20	38	11	21	18	22	69	6	27	33	15	21	7	2	20
213571	02/19/2011	Away	739	Villanova	225:00	26	65	5	15	20	31	77	20	30	50	7	13	10	1	13
213571	02/19/2011	Home	176	DePaul	225:00	27	65	13	30	8	13	75	10	26	36	14	12	5	8	24
173155	11/27/2010	Neutral	315	Jacksonville St.	200:00	23	47	5	12	13	23	64	11	22	33	12	15	7	6	13
173155	11/27/2010	Neutral	650	South Dakota	200:00	21	53	5	18	9	12	56	11	22	33	11	15	6	1	22
176551	12/05/2010	Away	129	Central Mich.	200:00	24	55	3	8	11	13	62	17	24	41	9	28	7	6	27
176551	12/05/2010	Home	176	DePaul	200:00	21	47	6	13	23	38	71	11	15	26	12	15	11	9	17
191461	01/23/2011	Away	220	Fairfield	200:00	18	53	1	12	20	29	57	15	29	44	12	16	9	2	15
191461	01/23/2011	Home	482	Niagara	200:00	18	52	3	16	10	16	49	7	24	31	4	15	9	6	22
191463	01/23/2011	Away	651	South Fla.	200:00	16	51	1	13	13	18	46	14	27	41	6	16	2	2	19
191463	01/23/2011	Home	768	West Virginia	200:00	22	66	2	11	10	16	56	21	24	45	12	6	6	5	16
194105	01/29/2011	Away	125	Centenary (LA)	200:00	27	54	5	12	11	16	70	6	22	28	12	26	9	1	19
194105	01/29/2011	Home	514	Oakland	200:00	39	67	7	23	15	24	100	10	23	33	22	15	16	8	14
191467	01/23/2011	Away	310	Iona	200:00	26	65	8	18	13	17	73	15	21	36	14	10	10	1	18
191467	01/23/2011	Home	116	Canisius	200:00	28	52	9	19	10	15	75	6	23	29	21	15	6	8	17
194106	01/29/2011	Away	497	North Texas	200:00	22	41	5	7	18	24	67	5	19	24	10	12	2	0	19
194106	01/29/2011	Home	183	Denver	200:00	24	43	12	26	20	25	80	3	17	20	18	6	8	4	21
194082	01/29/2011	Away	6	Alabama A&M;	200:00	25	62	4	15	7	16	61	17	23	40	15	19	18	4	27
194082	01/29/2011	Home	699	Texas Southern	200:00	24	53	4	17	13	29	65	16	25	41	17	23	9	8	17
182222	12/22/2010	Neutral	27	Appalachian St.	200:00	29	58	10	18	11	16	79	11	18	29	13	16	4	2	20
182222	12/22/2010	Neutral	156	Colorado St.	200:00	31	63	7	16	13	22	82	18	21	39	12	15	8	0	20
195518	02/02/2011	Away	651	South Fla.	200:00	24	59	6	21	9	12	63	14	21	35	11	16	4	7	19
195518	02/02/2011	Home	556	Providence	200:00	22	52	5	16	19	28	68	10	22	32	9	10	8	5	15
182450	12/23/2010	Away	488	N.C. A&T;	200:00	20	57	7	23	3	6	50	9	26	35	10	10	7	5	13
182450	12/23/2010	Home	28	Arizona St.	200:00	20	57	8	27	8	11	56	13	30	43	14	12	7	5	10
182451	12/23/2010	Neutral	647	South Carolina St.	200:00	28	59	5	19	12	17	73	16	24	40	11	20	6	2	20
182451	12/23/2010	Neutral	363	Longwood	200:00	33	59	10	19	14	21	90	9	20	29	17	11	9	0	17
182452	12/23/2010	Away	136	Chicago St.	200:00	19	55	4	16	9	25	51	13	21	34	10	15	6	2	24
182452	12/23/2010	Home	189	Drake	200:00	30	61	15	28	27	31	102	11	34	45	25	7	8	4	21
182453	12/23/2010	Away	718	Tulane	200:00	19	46	5	14	25	33	68	3	27	30	10	11	5	5	14
182453	12/23/2010	Home	665	Southern U.	200:00	25	60	8	20	7	10	65	10	28	38	15	15	5	5	22
182455	12/23/2010	Away	450	Mt. St. Mary's	200:00	20	55	6	17	1	7	47	8	24	32	12	15	10	2	14
182455	12/23/2010	Home	509	Northwestern	200:00	29	61	6	24	6	10	70	11	30	41	25	12	9	2	7
182458	12/23/2010	Neutral	609	Saint Louis	200:00	24	50	10	20	9	13	67	6	20	26	13	21	5	0	26
182458	12/23/2010	Neutral	664	Southern Miss.	200:00	24	55	2	6	24	30	74	13	22	35	3	15	10	5	14
168880	11/14/2010	Away	261	Grambling	200:00	18	49	9	24	12	30	57	9	16	25	13	19	9	2	21
168880	11/14/2010	Home	574	Rice	200:00	30	57	6	16	20	21	86	12	33	45	15	18	6	3	25
174483	11/30/2010	Away	419	Middle Tenn.	200:00	20	49	5	10	11	16	56	8	13	21	9	19	11	4	26
174483	11/30/2010	Home	694	Tennessee	200:00	26	52	11	24	23	34	86	16	25	41	18	17	9	6	19
192798	01/26/2011	Away	204	Eastern Mich.	200:00	22	49	8	18	13	20	65	7	16	23	13	17	6	4	18
192798	01/26/2011	Home	519	Ohio	200:00	27	50	7	12	18	23	79	10	26	36	19	17	4	2	16
228024	03/02/2011	Away	99	Long Beach St.	200:00	23	53	8	20	28	34	82	11	21	32	8	9	2	3	18
228024	03/02/2011	Home	111	UC Riverside	200:00	28	56	5	12	15	20	76	11	22	33	17	11	5	7	21
210790	02/15/2011	Away	670	Texas St.	200:00	18	51	3	14	27	32	66	7	26	33	9	16	14	5	19
210790	02/15/2011	Home	26172	A&M-Corpus; Chris	200:00	22	52	2	17	15	22	61	9	29	38	10	23	9	4	21
202565	02/12/2011	Away	625	Samford	200:00	23	46	6	18	11	17	63	5	21	26	15	17	2	0	12
202565	02/12/2011	Home	769	Western Caro.	200:00	37	67	6	15	5	8	85	11	22	33	19	6	8	3	15
