game_id	game_date	site	team_id	team_name	team_minutes	team_fgm	team_fga	team_three_fgm	team_three_fga	team_ft	team_fta	team_pts	team_offreb	team_defreb	team_totreb	team_ast	team_to	team_stl	team_blk	team_fouls
1375053	11/14/2012	Home	285	Holy Cross	200:00	18	62	7	23	14	20	57	11	33	44	12	11	1	10	15
1705893	02/23/2013	Away	758	Weber St.	200:00	26	48	9	17	9	11	70	8	18	26	17	14	3	1	10
1705893	02/23/2013	Home	527	Oral Roberts	200:00	28	53	4	9	6	7	66	8	15	23	8	10	8	3	14
1499934	01/12/2013	Away	646	South Ala.	200:00	18	64	5	21	15	29	56	22	24	46	5	12	3	3	24
1499934	01/12/2013	Home	497	North Texas	200:00	18	51	1	9	29	34	66	11	31	42	7	12	6	7	22
1438952	12/11/2012	Away	68	Boston U.	200:00	27	55	6	18	4	7	64	4	26	30	10	12	6	2	16
1438952	12/11/2012	Home	275	Harvard	200:00	23	49	7	17	12	15	65	2	26	28	11	15	6	7	10
1437092	12/10/2012	Away	7	Alabama St.	200:00	28	57	6	15	6	12	68	12	30	42	11	20	6	2	19
1437092	12/10/2012	Home	184	Detroit	200:00	26	65	10	22	19	24	81	13	22	35	16	9	10	3	13
1562472	02/02/2013	Away	441	Montana	200:00	24	52	8	22	9	11	65	9	23	32	14	13	5	4	14
1562472	02/02/2013	Home	207	Eastern Wash.	200:00	18	48	4	16	6	13	46	9	19	28	8	16	5	5	10
1562473	02/02/2013	Away	553	Prairie View	200:00	18	72	2	9	10	18	48	30	18	48	10	12	3		14
1562473	02/02/2013	Home	699	Texas Southern	200:00	29	52	14	26	12	19	84	6	28	34	18	15	9	7	16
1562475	02/02/2013	Away	440	Montana St.	200:00	26	55	5	16	13	20	70	12	25	37	12	11	7		12
1562475	02/02/2013	Home	550	Portland St.	200:00	28	58	4	12	4	7	64	7	20	27	19	9	6	4	16
1562476	02/02/2013	Away	459	UNCG	200:00	18	55	2	14	21	26	59	10	24	34	7	13	4	3	25
1562476	02/02/2013	Home	1014	Col. of Charleston	200:00	24	57	10	21	23	37	81	16	29	45	16	11	7	5	16
1562477	02/02/2013	Away	600	Saint Francis (PA)	200:00	24	44	5	11	11	18	64	4	28	32	14	18	1	3	19
1562477	02/02/2013	Home	599	St. Francis Brooklyn	200:00	22	58	2	21	15	25	61	12	19	31	7	7	10	1	17
1360492	11/10/2012	Away	645	Sonoma St.	200:00	24	55	9	16	12	18	69	5	22	27	13	16	7	3	20
1360492	11/10/2012	Home	610	St. Mary's (CA)	200:00	36	67	11	26	12	21	95	17	28	45	20	14	14	3	17
1357532	11/13/2012	Away	184	Detroit	200:00	27	78	9	29	11	16	74	19	23	42	13	11	11	4	20
1357532	11/13/2012	Home	603	St. John's (NY)	200:00	28	61	4	10	17	24	77	12	32	44	14	15	7	12	15
1896614	03/14/2013	Neutral	501	Northern Ariz.	200:00	20	54	4	16	14	20	58	9	18	27	7	17	10	2	17
1896614	03/14/2013	Neutral	758	Weber St.	200:00	30	56	5	16	19	23	84	9	27	36	15	14	9	7	16
1449071	12/19/2012	Away	147	Clemson	200:00	17	53	4	21	8	14	46	13	19	32	10	18	8	1	12
1449071	12/19/2012	Home	149	Coastal Caro.	200:00	25	54	9	23	10	13	69	11	28	39	16	14	13	1	15
1906593	03/15/2013	Neutral	624	Sam Houston St.	200:00	17	48	6	19	12	17	52	8	23	31	11	9	4	4	21
1906593	03/15/2013	Neutral	508	Northwestern St.	200:00	18	47	2	15	17	22	55	8	25	33	6	8	5	4	11
1870158	03/09/2013	Neutral	454	Murray St.	225:00	24	45	10	24	10	15	68	7	26	33	18	26	7	2	17
1870158	03/09/2013	Neutral	14927	Belmont	225:00	28	57	4	19	10	14	70	5	18	23	15	14	10	2	17
1440914	12/13/2012	Away	30034	Presentation	200:00	14	45	4	13		2	32	10	15	25	7	24	9		8
1440914	12/13/2012	Home	494	North Dakota	200:00	29	53	11	27	5	8	74	11	22	33	19	14	16	11	5
1911073	03/15/2013	Neutral	67	Boston College	200:00	19	45	7	18	13	21	58	5	19	24	10	11	2		17
1911073	03/15/2013	Neutral	415	Miami (FL)	200:00	25	52	8	24	11	17	69	9	23	32	11	9	7	1	21
1605352	02/09/2013	Away	109	UC Irvine	200:00	29	67	9	18	5	7	72	12	26	38	11	13	4	5	18
1605352	02/09/2013	Home	277	Hawaii	200:00	27	64	3	16	21	27	78	13	27	40	8	7	5	5	12
1431723	12/08/2012	Away	596	St. Bonaventure	200:00	24	57	6	24	16	23	70	11	21	32	11	10	6		23
1431723	12/08/2012	Home	30	Arkansas St.	200:00	24	52	5	17	20	25	73	10	23	33	9	14	3		20
1832552	03/05/2013	Away	635	Seton Hall	200:00	24	56	8	18	10	14	66	7	27	34	14	12	3	4	19
1832552	03/05/2013	Home	556	Providence	200:00	27	66	5	19	17	22	76	14	26	40	19	8	6	7	15
1503462	01/12/2013	Away	229	Fla. Atlantic	200:00	24	49	6	17	11	18	65	11	33	44	9	24	3	9	23
