player_id	player_name	team_id	team_name	jersey	year	pos	height	played	started	minutes	fgm	fga	fgpct	three_fgm	three_fga	three_fgpct	ft	fta	ftpct	pts	ptsavg	offreb	defreb	totreb	rebavg	ast	to	stl	blk	fouls	dbldbl	trpdbl
1273507	Mitchell, Rhon	346	Lamar	10	Fr	F	6-5	31	23	899:00	133	335	39.70	2	14	14.29	52	73	71.23	320	10.32	47	105	152	4.90	36	78	7	25	50	4	 
1397098	Minton, Donnell	346	Lamar	3	Fr	G	6-0	31	19	748:00	73	174	41.95	 	4		22	34	64.71	168	5.42	18	67	85	2.74	57	84	14	6	55	 	 
1070172	Minor, Donley	346	Lamar	22	Sr	G	6-1	31	29	1022:00	103	286	36.01	31	90	34.44	61	81	75.31	298	9.61	19	82	101	3.26	112	93	23	6	67	 	 
1070177	Brown, Stan	346	Lamar	35	Sr	F	6-9	31	30	896:00	136	284	47.89	 	2		87	129	67.44	359	11.58	67	170	237	7.65	14	51	14	26	66	4	 
1273506	Acosta, Nikko	346	Lamar	2	Sr	F	6-9	30	6	383:00	30	78	38.46	 	 		28	44	63.64	88	2.93	32	43	75	2.50	13	28	5	21	48	 	 
1397101	Wilson, Amos	346	Lamar	34	Jr	F	6-5	27	23	675:00	97	238	40.76	 	1		46	64	71.88	240	8.89	55	72	127	4.70	21	60	33	13	75	 	 
1397100	Webb, Hondo	346	Lamar	5	So	G	6-2	27	9	411:00	37	73	50.68	1	10	10.00	20	26	76.92	95	3.52	31	42	73	2.70	27	54	10	4	55	 	 
1397097	Hancock, Matt	346	Lamar	4	Fr	G	6-4	26	6	270:00	11	37	29.73	4	16	25.00	 	1		26	1.00	4	14	18	0.69	8	17	1	1	12	 	 
1397094	Blanks, Keilan	346	Lamar	1	Fr	G	5-9	25	5	528:00	56	145	38.62	18	47	38.30	35	44	79.55	165	6.60	8	47	55	2.20	46	55	8	1	29	 	 
1273508	Norman, Sebastian	346	Lamar	50	So	F	6-9	20	1	142:00	9	25	36.00	 	 		6	13	46.15	24	1.20	8	25	33	1.65	1	7	6	13	20	 	 
1397096	Doty, Brennan	346	Lamar	21	So	G	6-3	11	1	79:00	7	19	36.84	1	2	50.00	13	18	72.22	28	2.55	5	9	14	1.27	3	18	2	 	8	 	 
1397099	Muepo, D.J.	346	Lamar	24	Fr	F	6-6	10	3	145:00	15	38	39.47	 	1		11	14	78.57	41	4.10	11	22	33	3.30	14	9	8	6	17	 	 
1070175	Ebomwonyi, Osas	346	Lamar	33	Jr	C	6-11	5	0	47:00	3	8	37.50	 	 		2	5	40.00	8	1.60	3	9	12	2.40	1	3	1	6	4	 	 
1397095	Curran, Brian	346	Lamar	12	Fr	G	6-2	2	0	6:00	 	1		 	1		2	2	100.00	2	1.00	1	 	1	0.50	 	1	1	 	 	 	 
1175538	Duren, Tyreek	340	La Salle	3	Jr	G	6-0	34	34	1173:00	162	355	45.63	48	123	39.02	115	148	77.70	487	14.32	20	77	97	2.85	111	67	56	13	64	 	 
1289189	Galloway, Ramon	340	La Salle	55	Sr	G	6-2	34	32	1133:00	193	461	41.87	94	228	41.23	105	127	82.68	585	17.21	25	132	157	4.62	127	107	65	17	81	3	 
1289187	Wright, Jerrell	340	La Salle	25	So	F	6-8	34	33	816:00	146	252	57.94	 	 		76	120	63.33	368	10.82	91	138	229	6.74	28	58	21	34	82	4	 
1289185	Peterson, D.J.	340	La Salle	1	So	G	6-5	34	18	872:00	44	111	39.64	32	80	40.00	12	13	92.31	132	3.88	19	64	83	2.44	51	14	30	5	70	 	 
1175541	Mills, Sam	340	La Salle	10	Jr	G	6-2	33	33	1108:00	94	230	40.87	50	132	37.88	25	31	80.65	263	7.97	21	66	87	2.64	74	39	33	9	53	 	 
1289188	Brown, Rohan	340	La Salle	35	Fr	G	6-5	31	0	269:00	20	45	44.44	2	7	28.57	9	15	60.00	51	1.65	24	23	47	1.52	1	9	9	4	29	1	 
1418007	Garland, Tyrone	340	La Salle	21	N/A		-	27	1	662:00	127	301	42.19	27	97	27.84	69	95	72.63	350	12.96	18	38	56	2.07	55	38	32	1	52	 	 
1289186	Zack, Steve	340	La Salle	21	So	C	6-11	27	18	603:00	73	134	54.48	 	 		27	38	71.05	173	6.41	59	113	172	6.37	26	41	8	36	74	 	 
1175537	Dunn, Taylor	340	La Salle	5	Jr	G	6-2	24	0	130:00	7	28	25.00	7	24	29.17	4	9	44.44	25	1.04	1	16	17	0.71	5	1	4	 	5	 	 
1414351	Hunt, Garvin	340	La Salle	13	N/A		-	16	1	62:00	1	4	25.00	 	 		2	5	40.00	4	0.25	4	7	11	0.69	3	5	3	 	10	 	 
1415947	Lewis, O.J.	340	La Salle	11	N/A		-	7	0	20:00	4	10	40.00	2	4	50.00	2	4	50.00	12	1.71	2	 	2	0.29	 	1	2	 	 	 	 
1292889	Hinrichs, Seth	342	Lafayette	12	So	G	6-7	34	33	938:36	159	345	46.09	78	171	45.61	97	126	76.98	493	14.50	47	119	166	4.88	60	61	21	5	49	2	 
1067717	Giese, Levi	342	Lafayette	24	Sr	F	6-9	34	34	828:29	86	212	40.57	44	138	31.88	18	30	60.00	234	6.88	34	106	140	4.12	29	31	23	62	101	 	 
1067718	Johnson, Tony	342	Lafayette	3	Sr	G	6-0	34	33	1025:35	166	304	54.61	29	63	46.03	91	112	81.25	452	13.29	20	109	129	3.79	162	76	65	7	65	 	 
1292890	Ptasinski, Joey	342	Lafayette	5	So	G	6-2	34	17	956:22	115	270	42.59	65	172	37.79	31	41	75.61	326	9.59	9	70	79	2.32	63	37	36	3	41	 	 
1400669	Rufer, Zach	342	Lafayette	21	Fr	G	6-3	34	0	409:19	20	80	25.00	8	39	20.51	22	30	73.33	70	2.06	12	65	77	2.26	43	38	23	4	42	 	 
1400672	Musters, Nathaniel	342	Lafayette	54	Fr	C	6-10	33	2	184:03	7	12	58.33	 	 		 	1		14	0.42	10	15	25	0.76	4	8	6	4	27	 	 
