game_id	game_date	site	team_id	team_name	team_minutes	team_fgm	team_fga	team_three_fgm	team_three_fga	team_ft	team_fta	team_pts	team_offreb	team_defreb	team_totreb	team_ast	team_to	team_stl	team_blk	team_fouls
547831	11/15/2011	Away	0	Bluefield Col.	200:00	23	53	4	12	14	23	64	11	20	31	3	22	9	5	15
547831	11/15/2011	Home	48	Charleston So.	200:00	34	66	6	19	14	19	88	14	23	37	13	20	12	5	16
547830	11/19/2011	Neutral	563	Radford	200:00	24	68	4	18	7	10	59	18	15	33	9	20	10	2	18
547830	11/19/2011	Neutral	361	LIU Brooklyn	200:00	31	52	7	14	12	19	81	10	26	36	16	22	7	3	13
547910	11/20/2011	Away	270	Hampton	200:00	15	41	6	18	16	24	52	6	27	33	7	26	11	6	20
547910	11/20/2011	Home	587	Rutgers	200:00	20	63	3	16	23	27	66	20	27	47	13	16	13	3	22
524494	11/11/2011	Away	207	Eastern Wash.	200:00	23	61	13	29	10	11	69	11	18	29	13	15	8	5	33
524494	11/11/2011	Home	260	Gonzaga	200:00	19	51	3	13	36	51	77	22	28	50	11	18	7	4	11
524495	11/11/2011	Away	398	MIT	200:00	19	41	3	11	8	10	49	6	25	31	11	22	4	2	15
524495	11/11/2011	Home	275	Harvard	200:00	31	58	8	21	6	11	76	6	17	23	13	6	10	9	12
568710	11/25/2011	Neutral	631	Santa Clara	200:00	24	68	14	33	11	13	73	12	21	33	17	9	4	2	24
568710	11/25/2011	Neutral	522	Oklahoma	200:00	28	60	5	16	24	32	85	15	34	49	10	11	1	4	18
524491	11/12/2011	Neutral	551	Portland	200:00	21	52	5	16	23	27	70	10	30	40	9	12	1	0	17
524491	11/12/2011	Neutral	229	Fla. Atlantic	200:00	25	69	7	29	8	15	65	14	23	37	13	5	6	8	20
524492	11/11/2011	Away	228	Florida A&M;	200:00	20	53	5	18	14	24	59	6	15	21	11	16	9	1	27
524492	11/11/2011	Home	255	Georgia Tech	200:00	28	52	10	23	26	36	92	14	32	46	16	17	9	6	22
783697	02/25/2012	Away	6	Alabama A&M;	200:00	20	52	6	17	6	11	52	8	31	39	9	21	2	5	26
783697	02/25/2012	Home	553	Prairie View	200:00	19	57	3	17	19	34	60	16	27	43	5	14	8	2	17
783699	02/25/2012	Away	419	Middle Tenn.	200:00	27	50	4	11	9	18	67	9	20	29	16	19	5	3	25
783699	02/25/2012	Home	772	Western Ky.	200:00	23	52	6	19	21	24	73	11	20	31	11	15	7	4	20
616770	12/14/2011	Away	711	Towson	200:00	20	45	8	15	9	24	57	10	29	39	13	21	3	4	22
616770	12/14/2011	Home	165	Coppin St.	200:00	21	63	12	32	17	22	71	16	22	38	16	9	10	3	20
758390	02/18/2012	Away	19651	High Point	200:00	19	52	11	27	13	15	62	9	22	31	9	14	9	2	16
758390	02/18/2012	Home	676	Stephen F. Austin	200:00	27	56	7	16	8	15	69	11	24	35	24	11	9	5	14
758391	02/18/2012	Away	718	Tulane	200:00	22	51	9	18	20	25	73	5	22	27	9	12	6	2	29
758391	02/18/2012	Home	9	UAB	200:00	20	50	7	21	34	41	81	12	26	38	13	12	5	4	19
606181	12/06/2011	Away	464	Omaha	197:00	29	54	12	20	5	7	75	10	20	30	24	18	13	3	8
606181	12/06/2011	Home	0	Benedictine (KS)	200:00	18	45	7	17	6	9	49	4	16	20	11	21	11	3	9
733693	02/06/2012	Away	43	Austin Peay	200:00	21	50	2	12	11	19	55	8	20	28	14	21	6	0	15
733693	02/06/2012	Home	14927	Belmont	200:00	35	66	10	25	14	18	94	11	25	36	26	9	11	2	18
642134	01/02/2012	Away	0	Jarvis Christian	200:00	17	51	2	11	13	23	49	5	26	31	14	22	9	2	31
